ORDER,ZIP,TOTAL,R_0_17,R_18_29,R_30_39,R_40_49,R_50_64,R_65_74,R_75_84,R_85_UP
0,95202,6066,1490,976,642,592,1230,679,312,145
1,93702,43601,13731,9221,5726,4986,5866,2540,1040,491
2,90002,53302,17257,10927,7256,7210,7313,2021,872,446
3,93703,32754,10286,6629,4124,3692,4899,1786,921,417
4,93721,7650,957,2200,1563,947,1074,485,245,179
5,90059,46185,15852,8779,6757,4706,6988,1937,735,431
6,93701,10166,3301,2306,1295,1038,1621,484,47,74
7,93305,37902,13348,7135,4721,3708,5400,2063,984,543
8,92401,2257,610,656,249,126,372,172,49,23
9,92405,30112,10113,5102,4353,3553,4579,1650,590,172
10,93307,86832,29599,17048,11756,10119,11479,4095,1856,880
11,90805,95995,27622,18245,14321,12244,15134,5697,1929,803
12,92410,45052,15129,9027,6250,4804,6397,2090,1019,336
13,90012,36552,3115,10568,7804,5040,4706,2321,1920,1078
14,92301,34250,11785,6234,5407,4344,4430,1237,636,177
15,93706,40586,13280,7493,4927,4280,5847,2915,1149,695
16,93725,27214,9030,5541,3649,2484,4131,1114,933,332
17,92311,33454,10634,5544,4188,2915,6282,2276,1269,346
18,94590,37280,7920,6767,5228,4459,7910,3349,1133,514
19,93280,28138,7365,6826,4789,3268,3962,1278,413,237
20,95351,48542,15256,9509,6426,5266,7321,2822,1313,629
21,93291,59270,18222,10866,8335,7601,9062,3240,1486,458
22,93306,72280,22287,12414,9791,8105,11316,5180,2298,889
23,92544,49923,13174,8044,6054,5791,9515,4345,1991,1009
24,90061,27873,7668,5565,3936,3700,4327,1648,725,304
25,93728,16574,4421,3823,2406,1605,2964,882,370,103
26,93308,53981,14473,9520,7336,5725,10001,4163,2016,747
27,93705,36808,10649,6732,4964,4252,5834,2461,1314,602
28,90017,27723,5931,6804,5549,3645,3462,1310,745,277
29,93727,84449,26484,14762,12645,9920,11721,5265,2558,1094
30,95423,3751,581,441,224,340,1238,690,228,9
31,92553,76102,22739,16408,10744,9542,11164,3444,1494,567
32,92404,62915,19042,13052,8797,7244,9197,3176,1517,890
33,93117,58546,7567,31153,5066,4134,5791,2752,1512,571
34,90003,73730,23675,15242,10763,8607,10892,2782,1203,566
35,90023,46680,13335,8963,6748,6541,6321,2532,1257,983
36,93304,49115,14931,10322,6602,5124,7519,2866,1229,522
37,93534,39367,11370,6452,5313,4537,6634,2864,1603,594
38,95354,24923,6522,4152,3896,2686,4535,2183,719,230
39,90044,99443,29413,17704,14554,12458,16525,5058,2800,931
40,90057,50152,11232,9978,9839,6411,7563,2945,1575,609
41,90058,2718,1117,389,421,303,393,64,29,2
42,90813,58380,16988,12103,9691,6680,8422,2842,1122,532
43,93640,12920,4465,2129,2107,1522,1927,409,331,30
44,91402,72059,18288,13679,11245,9537,12139,4503,1783,885
45,93662,30725,9201,5688,4096,3375,4833,2010,1072,450
46,95203,15487,3806,2974,2238,1878,2808,1107,530,146
47,92501,21590,5091,4632,3727,2577,3523,1360,498,182
48,94102,31392,2982,6048,7144,4064,6277,2799,1370,708
49,91406,54890,12895,8847,9117,8230,10089,3587,1454,671
50,90007,42433,6005,21241,4321,3124,4502,1971,921,348
51,93301,12325,3518,2592,1998,867,1845,793,552,160
52,93241,16397,5554,3253,2218,1920,2624,556,218,54
53,91331,105458,26162,20909,15966,13036,18423,6614,3142,1206
54,95205,38350,11837,7705,6026,4216,5317,2082,830,337
55,95207,52269,13640,10497,7006,5245,7990,3928,2673,1290
56,90015,22651,4003,6426,4575,3252,2663,1077,443,212
57,93635,41180,14008,6239,5606,5149,6149,2202,1232,595
58,91401,39755,8178,7059,6938,4970,8048,2973,1045,544
59,95210,41509,12094,8099,5303,4852,6386,3014,1173,588
60,95820,36437,8328,6427,6113,4567,6014,2520,1198,1270
61,95341,33090,12007,6004,4719,3356,4447,1684,689,184
62,93257,76519,23334,13462,9657,9120,11774,5191,2783,1198
63,93033,84701,25308,16273,12960,10487,12531,4014,2000,1128
64,95206,64250,20191,11231,8569,8468,9879,3726,1526,660
65,90033,49155,14294,9595,6077,6398,7431,2559,1751,1050
66,92543,38314,11246,5990,4090,3959,6555,3528,2158,788
67,93535,74264,22647,14005,8563,9016,13224,4145,2012,652
68,95838,39053,11456,7407,6043,4223,6282,2314,1014,314
69,95965,20498,4609,3577,2512,2364,3944,2019,1224,249
70,90043,45873,8920,7708,6236,5463,10150,3936,2362,1098
71,92227,27189,9159,4171,3278,2846,4338,1901,914,582
72,90001,59832,18978,11616,8784,7744,8578,2694,1057,381
73,92102,44010,10268,8477,8387,6103,6778,1921,1169,907
74,92356,6573,1665,803,770,571,1516,871,335,42
75,90255,75019,20129,14864,10591,10181,11978,4510,2030,736
76,94124,35747,8053,5365,5920,4446,6909,2846,1618,590
77,90221,51688,14768,10237,6977,7102,7994,2787,1429,394
78,95815,25673,6935,4850,4298,3246,4098,1547,580,119
79,90011,111165,35099,22655,15898,16076,14434,4359,2044,600
80,90006,59576,13229,11649,10370,7874,9925,3865,1814,850
81,92395,43908,13075,7099,5009,4625,7744,3519,2092,745
82,96019,10178,2467,1345,1471,1336,1830,1091,507,131
83,90037,67640,18836,13980,9813,8207,11202,3168,1767,667
84,93710,33448,6968,10653,4515,2484,4378,2113,1422,915
85,92583,32697,8624,5800,3778,4249,5628,2903,1293,422
86,92557,53406,13772,10433,8118,6091,9468,3613,1456,455
87,96001,34293,7178,5116,4465,3514,7398,3936,1860,826
88,92240,35278,8823,5311,4951,4515,6473,2817,1726,662
